entity_label,entity_name,document_path,chunk_index
Technology,Generative AI,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Concept,artificial intelligence systems,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Benefit,creation of new content that resembles human-made data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Example,GPT,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Example,DALL-E,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Example,text,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Example,images,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Example,audio,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Example,code,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Process,training on large datasets,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Process,using patterns learned from data to generate new output,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Concept,large datasets,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Concept,patterns learned from data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,0
Technology,Generative AI,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Process,Model training,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Process,Pattern learning,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Process,Content generation,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Concept,Large dataset,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Concept,Patterns,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Example,Chatbots,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Example,Content creation,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Example,Image synthesis,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Example,Code generation,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Challenge,Lack of human-like intelligence,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,1
Technology,Generative AI,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Technology,Large Language Models (LLMs),/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Concept,statistical patterns and correlations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Challenge,lack of understanding or comprehension,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Benefit,coherent and contextually relevant outputs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Process,text generation,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Concept,training data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,2
Technology,Large Language Models (LLMs),/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Technology,text-generating models,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Technology,generative AI model,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Process,training on vast amounts of text data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Benefit,understand and generate human-like text,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Benefit,answering questions,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Benefit,summarizing data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Benefit,analyzing text,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Concept,probabilistic continuation of instructions,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,3
Concept,training data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,4
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,4
Concept,prompt,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,4
Example,"Sequence continuation example: ""Continue this sequence - A B C"" -> ""D E F""",/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,4
Concept,instructions,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,4
Process,providing a prompt to an LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,4
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Concept,Precision,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Process,Using precision in task description,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Benefit,Relevant and accurate outputs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Example,What is an LLM? Give the response using simple language avoiding jargon.,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Resource,llm-prompt-interaction.svg,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Benefit,Model understands the intent,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,5
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
Benefit,Relevant and accurate outputs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
Concept,Prompt,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
